Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260921,TENIDO TREN 01,FALTA DE INSUMOS (PROD.QUIMICO-TIRRO),20.98,87.42
20260921,TENIDO TREN 01,PREPARACION DE MAQUINA,2.98,12.42
