Fecha;Maquina;Item;Codigo;Causa;Horas;% Tiempo Perdido
2026/08/26;TENIDO TREN 02;1;20;CAMBIO DE TITULO-CAMBIO ESTILO-ENSARTE;3.5;14.58
2026/08/26;TENIDO TREN 02;2;3;PREPARACION DE MAQUINA;2.5;10.42
2026/08/26;TENIDO TREN 02;3;8;COMIDA;0.5;2.08
2026/08/26;TENIDO TREN 02;4;67;MATERIAL EN TRANSITO;0.42;1.75
