Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260902,TENIDO TREN 02,MANTENIMIENTO PREVENTIVO.,8.00,33.33
20260902,TENIDO TREN 02,CAMBIO DE TITULO-CAMBIO ESTILO-ENSARTE,0.58,2.42
