Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260901,TENIDO TREN 02,FALLA MECANICA.,5.67,23.63
20260901,TENIDO TREN 02,CAMBIO DE TITULO-CAMBIO ESTILO-ENSARTE,1.33,5.54
20260901,TENIDO TREN 02,REPARACION DE DAÑO -EMPALME.,0.98,4.08
20260901,TENIDO TREN 02,COMIDA,0.50,2.08
