Fecha;Maquina;Item;Codigo;Causa;Horas;% Tiempo Perdido
2026/08/24;TENIDO TREN 02;1;26;FALTA DE INSUMOS (PROD.QUIMICO-TIRRO);14.98;62.42
2026/08/24;TENIDO TREN 02;2;11;FALLA ELECTRICA;5.0;20.83
2026/08/24;TENIDO TREN 02;3;31;LLUVIAS - GOTERAS;3.98;16.58
