Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260916,TENIDO TREN 02,FALTA DE MATERIAL (MAD PARA TEÑIR),14.15,58.96
20260916,TENIDO TREN 02,FALLA ELECTRICA.,3.97,16.54
