Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260909,TENIDO TREN 01,FALTA DE INSUMOS (PROD.QUIMICO-TIRRO),10.23,42.63
20260909,TENIDO TREN 01,PREPARACION DE MAQUINA,2.33,9.71
