Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260914,TENIDO TREN 02,PREPARACION DE MAQUINA,2.98,12.42
20260914,TENIDO TREN 02,FALTA DE INSUMOS (PROD.QUIMICO-TIRRO),0.67,2.79
20260914,TENIDO TREN 02,FALLA ELECTRICA.,0.50,2.08
