Fecha;Maquina;Item;Codigo;Causa;Horas;% Tiempo Perdido
25/08/2026;TENIDO TREN 02;1;26;FALTA DE INSUMOS (PROD.QUIMICO-TIRRO);5,98;24,92
25/08/2026;TENIDO TREN 02;2;3;PREPARACION DE MAQUINA;2,83;11,79
25/08/2026;TENIDO TREN 02;3;8;COMIDA;0,50;2,08
25/08/2026;TENIDO TREN 02;4;11;FALLA ELECTRICA.;0,33;1,38
