Fecha,Maquina,Causa,Horas,% Tiempo Perdido
20260917,TENIDO TREN 02,FALLA ELECTRICA.,3.23,13.46
20260917,TENIDO TREN 02,MANTENIMIENTO PREVENTIVO.,1.98,8.25
