Fecha;Maquina;Item;Codigo;Causa;Horas;% Tiempo Perdido
2026/09/07;TENIDO TREN 02;1;3;PREPARACION DE MAQUINA;3.48;14.5
2026/09/07;TENIDO TREN 02;2;44;FALTA DE MATERIAL (MAD PARA TEÑIR);1.5;6.25
2026/09/07;TENIDO TREN 02;3;8;COMIDA;0.5;2.08
