Fecha;Maquina;Item;Codigo;Causa;Horas;% Tiempo Perdido
2026/08/25;TENIDO TREN 02;12;6;FALTA DE INSUMOS (PROD.QUIMICO-TIRRO);5.98;24.92
2026/08/25;TENIDO TREN 02;2;3;PREPARACION DE MAQUINA;2.83;11.79
2026/08/25;TENIDO TREN 02;3;8;COMIDA;0.5;2.08
2026/08/25;TENIDO TREN 02;41;1;FALLA ELECTRICA.;0.33;1.38
